,cleaned_text,topic_hl,topic_hl_encoded
465,Pot calling the kettle #VinceCable - #royalmail give away socialisation of pensions what different with GRN invest. bank #libdemconference,Customer Service,0
404,"
#RoyalMail delivers birthday surprise to boy with #Autism ",Customer Service,0
1003,Poll Card arrived no strikes till Brexit then #RoyalMail,Customer Service,0
825,Apparently #royalmail have delivered a parcel today - No delivery received absolute joke!!!!,Customer Service,0
652,Well done #royalmail I live in Chelmsford why has my parcel gone to frinton?!! ,Customer Service,0
430,"Still no number today, watched the postie ignore our section of street though, seems no one got letters today 😒 #greatnorthrun #royalmail",Customer Service,0
2613,MARSHALL WACE LLP declares that on May 10 it reduced its net short position on ROYAL MAIL PLC from 1.39% to 1.27%  #RoyalMail,Financial News,1
1336,#royalmail taking the piss yet again charging more for quick delivery and not actually delivering,Customer Service,0
594,"send i.r.o. 600 large letters/sm parcels by #RoyalMail every week. 25% to the #EU

can't recall the last time we bought a stamp. ",Customer Service,0
2549,1979 Dogs stamp pack #stamp #stamps #philatelists #philately #stampcollector #stampcollection #stampcollecting #postagestampsuk #postalstamps #royalmail #royalmailstamps #postagestamps #collectingstamps #presentationpacks #dog #dogs #dogstamps ,Philately,2
433,Look out for #fakedeliverycards - there will be NO #royalmail mark @edinburghpaper   ,Customer Service,0
1681,"Villagers frustrated after #RoyalMail deliveries stop for almost three weeks 
",Customer Service,0
2099,"Two-thirds majority on all!
If 51.9% was enough to take us out of the #EU then renationalising is a vote winner. 
#Gas #Electric #Railways #RoyalMail ",Politics,3
1726,#royalmail how can you just not collect business post but the posties are walking around with sacks on but the van drivers with air con dont work .,Customer Service,0
2377,"Part Time #Flexiblejob of the Day: Postman/Postwoman with Driving at #Royalmail
#Jobs #Customerservicejobs 
Apply here today:  ",Royal Mail Jobs,4
1476,#RoyalMail to offer timed #parceldelivery for an extra charge  via ,Customer Service,0
208,So apparently #royalmail are on #strike next week. #latechristmascards?? ,Customer Service,0
2031,"@DPD_UK please just admit that you’ve messed up and you can’t cope. If this had been #royalmail we’d all be hearing about how much better the private sector is!
#parcelgateDPD one day to get it to Bristol then four days to get to another part of Bristol. I can walk quicker! ",Politics,3
927,"I just bought a book of #stamps and I'm stood with a fiver to pay the woman, seven quid she says, that shows you the last time I posted a letter with #royalmail this stamp book will prob last me about 3 years 🤣",Customer Service,0
1697,"So im not allowed to drive MY OWN CAR when my partner is working delivering evri parcels because its conflict of interest, yet my work colleague is currently allowed to be at a pub in uniform.. aye ok. #royalmail  #berwickupontweed",Customer Service,0
1247,So where is it #royalmail ?? You said by 1500hrs ,Customer Service,0
1673,#RoyalMail told workers may strike over alleged ‘fire and rehire’ plans ,Customer Service,0
1723,Profile pic vs the one the postman takes #royalmail #royalfail ,Customer Service,0
354,we ended up with other peoples polling cards for the election #royalmail,Customer Service,0
1505,@MoiraJenkins1 What if he needs to fund out where a lost parcel is. With out travk and trace that is almost impossible. Although you can go to your local royal mail delivery office #royalmail,Customer Service,0
1448,"I deplore the lack of deliveries today especially as I'm expecting a package from @blackwellbooks 
#RoyalMail where for art thou? ☹️",Customer Service,0
319,This may change if a few corpses shipped to #10DowningSt by #RoyalMail : ,Customer Service,0
109,@RoyalMail even trying to speak to someone at #royalmail is a fucking joke!!!!!!,Customer Service,0
2271,"#RoyalMail releases interim #earnings this week

📦 Parcel volumes down after boom last year, but above pre-pandemic levels

🤑 Revenue to rise and earnings set to jump and beat guidance

📈 Brokers see huge upside after selloff this year

Read more 👇 
",Financial News,1
1263,"BBC News - #RoyalMail launches 72p parcel pick-up service
",Customer Service,0
2017,£100bn in housing benefit to basket case Tory landlords imagine how many homes we could build! #WelfareForTheWealthy ,Politics,3
25,"#BT home hub designed to fit through letterbox, yet another #EpicFail from #RoyalMail who have took mine back to the depot.",Customer Service,0
649,"Dany stamp, the folks did good #got #royalmail ",Customer Service,0
1347,Got a hospital letter today dated December 16th. Just in case anyone is missing post... #royalmail,Customer Service,0
596,"Juries out as to whether this was opened or damaged, either way 1 thing missing I ordered. #RoyalMail ",Customer Service,0
323,#RoyalMail strike... will anyone notice!! ,Customer Service,0
573,4th delay repay claim in 7 days on #Southern #goviathameslink and a week for card to arrive. #royalmail Aint privatisation great,Customer Service,0
2290,"✉ Reply n. 320 👑
Easter reply from The Belgian Royal family 🐰
----------------------
#royalmail #royalletters #royalreply ",Royal Reply,5
2061,"@MrMalky Even #Thatcher balked at selling off #RoyalMail
Cameron / Osborne had a much better idea - get @LibDems to do the dirty work
The #LimpDebs ENABLED #Austerity, #DWPcuts, &amp; lied about #TuitionFees &amp; @NicolaSturgeon 
They are NOT a cuddly alternative to the Tories
#YellowToriesOut",Politics,3
555,Gotta love £29 in royalmail postage to send 3 small parcels to Italy and I had to split one to bring it under 2kgs. I make this mistake every year if I planned a bit better and had it ready weeks ago i could have sent it via courier for £15 😡 #christmasmistake #royalmail #fail,Customer Service,0
2465,"""Our members are the backbone of #RoyalMail, holding the service together while the shareholders seize the profits. It is awash with cash. There is no need whatsoever for these cuts, or this ill-thought out redeployment programme"": @UniteSharon 

",Financial News,1
994,"#RoyalMail in legal bid to block national #Christmas #strike

 

For advice: ",Customer Service,0
2417,"#Investor revolt over #RoyalMail boss's pay deal is biggest for years. #northeasthour

",Politics,3
490,"@TimMcAvoy1 @leebrydon76 If the package was packed correctly there would be no smashed glass, thousands of glass packages arrive intact everyday through Royal Mail- and you are still blaming #royalmail for you not reading small print correctly and using correct service?",Customer Service,0
313,#royalmail must be happy with everyone writing letters these days :-) ,Customer Service,0
781,Tackling loneliness one delivery at a time... ,Customer Service,0
2252,"Sun shines on FTSE 100 amid reshuffle as ITV aims for prime-time slot 

FTSE cards will be shuffled later based on closing prices at the end of trading --&gt; 
  #FTSE #RoyalMail #ITV #DarkTrace #LSE #Stocks #FTSE100 #TrustPilot",Financial News,1
2146,"Postman/Postwoman with Driving @RoyalMail #Dunbar
Info/Apply  
#RoyalMail #EastLothianJobs ",Royal Mail Jobs,4
598,Savage #Brexit stamps are the best of British  #Design #royalmail ,Customer Service,0
886,@jc_cannon13 #royalmail #USPS U wuz ripped orf. The leaflets you sent by regular post 3 days after you sent the signed for papers arrived a day before them. And just appeared in the mailbox without anyone having signed for the packet.,Customer Service,0
523,@nextofficial I work for #RoyalMail and we put the item in the customers hand,Customer Service,0
1091,Can everyone please take 1 minute every day to disinfect your letter box and doorbell to help minimise the spead of CO-VID 19 to your local postie and anyone delivering essential items to your doorstep @RoyalMail @royalmailnews #royalmail #CoronavirusLockdown ,Customer Service,0
828,#royalmail over 30min wait to speak to an advisor on the phone.  W T F?????,Customer Service,0
842,#royalmail there is nothing #royal about this service take it down,Customer Service,0
1360,@DavidLammy @RoyalMail Staff shortages are due to poor posties catching covid n isolation . A thought vaccinate the posties so they can do there jobs safely and stay healthy to keep working as they do one hell of a job rain or snow ! #RoyalMail  well done the posties,Customer Service,0
1629,Posty delivers twice a day in London😲 #royalmail,Customer Service,0
948,Letter carrier. #royalmail ,Customer Service,0
613,"#royalmail#southockendon.
Another incorrect delivery this morning 1 of several lately 1 of which was for road half a mile away#read address's",Customer Service,0
930,Technology is amazing but seeing a 4 year olds face light up coz he got a letter in the post will beat going square eyed on a ipad all day long!!! #RoyalMail,Customer Service,0
129,#royalmail  mail delivered  at 6.30 pm again today. perhaps the postie needs a kick to get their lazy ass moving. form a que herem,Customer Service,0
2406,1999 Pack 43 High Value #stamp #stamps #philatelists #philately #stampcollector #stampcollection #stampcollecting #postalstamps #royalmail #postagestamps #collectingstamps #postage #postagestamp #presentation #presentationpacks  #definitivestamps ,Philately,2
363,#royalmail Has any postman in Glasgow West or Paisley seen or got our dog. ,Customer Service,0
1828,"@CllrSeema help pls: #pcn  going through #ltn #haringey when my dog was critically ill.Wanted to challenge online but post only,sent today w vet proof but may not get in time #royalmail strike.Tried to search pcn no &amp; Haringey will not supply&amp;site now states could appeal online",Customer Service,0
464,Apparently #royalmail want me to go so fast they sent me new tyres instead of new shoes... ,Customer Service,0
2102,"#CostOfLivingCrises
#GeneralElectionNow
#StandByYourPost
#RoyalMail
 #NotMyLabourParty
 #ToryChaos
#PanamaPapers
#PensionFunds 
#treasuries
 #gilts
#payusenoughtolive

Visit   @SEP_Britain

IMF report reveals dictatorship of finance capital ",Politics,3
2355,Postperson with #Driving  25 hrs pw #FTC @RoyalMail #Wimbledon #Merton  #Jobs #CustomerServiceJobs #DrivingJobs #RoyalMail #SurreyJobs #SM1Jobs #SuttonJobs,Royal Mail Jobs,4
2083,"Bye-bye Rico Back. But why anyone thinks he should be paid £480,000 for doing nothing for 9 months is beyond me. He got £5.8m as a “golden handshake” 2 years ago and now is grabbing another £1/2 million... @CWUnews #ByeByeRicoBack #RoyalMail  ",Politics,3
1741,Anyone finding the post really slow at the moment? #RoyalMail,Customer Service,0
924,"Been to #RoyalMail delivery office to collect parcel. Showed the chap pic of front path which delivery person declared inaccessible (though he did access it to put card in letterbox, without ringing bell). Chap shook head in sympathy. Taxi fare £8.60 plus tip.",Customer Service,0
494,#RoyalMail 's attempt to block strike won't sort this bitter dispute | Nils Pratley  #CWU,Customer Service,0
333,"When you're sent to the philately counter for pretty stamps, in an otherwise empty post office... 🙈📮💌 #royalmail #postofficefail",Customer Service,0
1220,2 days waiting for a parcel that #royalmail  first said would be delivered yesterday and then said would he delivered today! Two days waisted because of your incompetent company.,Customer Service,0
193,Received an email from Royal Mail with link to a tracked parcel and this was response #royalmail ,Customer Service,0
96,Dear #royalmail pls explain why pushing a single letter through the box str8 is a regular problem for your posties ,Customer Service,0
1539,God bless you Peter. ,Customer Service,0
665,"My post delivered by #royalmail dog eared, damp, ripped! Important documents inside!! Absolute joke ",Customer Service,0
2480,"You use their service
everyday, but have you checked out their #graduatescheme? Listen here to find
out more about the opportunities with #royalmail 
#gradjobs #graduatejobs #jobsearch",Royal Mail Jobs,4
629,We had post today. Did you?? #royalmail. Thank you.,Customer Service,0
485,#RoyalMail strike over pension scheme changes could impact Christmas  #pensionsuk #ATSOPRO  ,Customer Service,0
2509,New royal letter arrived. 🇬🇧 #Royal #royalletter #royalmail #royalreply #Christmas #kingcharles ,Royal Reply,5
2372,"#RoyalMail Presently looking 👀 for Christmas 🎄 Casual Temp Workers - based at Peterborough 📮 Mail Centre, some shifts are £11.21 p/h 💷 Details: ",Royal Mail Jobs,4
513,#royalmail charging £8 handling charge on custom fees is a rip off,Customer Service,0
1693,Things we have to deliver!! #royalmail ,Customer Service,0
859,Last week my letters were opened by the Royal mail and put in plastic bags. They also intercepted an item sent to me and opened that too and now the gift i sent to someone in the USA and they want me to repay to send it bc they opened that too #RoyalMail That seems alot in weeks,Customer Service,0
2292,"✉ Reply n. 333 👑
Reply from TRH The Hereditary Prince and Princess of Hannover on the occasion of the birth of their son, Prince Welf August 👶
----------------------
#royalmail #royalletters #royalreply ",Royal Reply,5
532,#Game2day write#Christmascards for posting #RoyalMail #HomeAndAway update address book Delete add new contacts phone plus keep paper copy buy stamps check weight size letters parcels b4 posting write letter #Santaclaus are you on #naughtyornicelist ? Buy Xmas crackers #TinaHelme ,Customer Service,0
1709,"#royalmail Current service is a joke, taking on average 1 to 2 weeks receiving post UK to UK, sent an important letter Monday tracked/signed service and it still hasn't arrived Thursday evening. Can't keep blaming covid.",Customer Service,0
453,Seems a little counter productive to use company money to send ominous messages 🤔 go strike guys! Take it to them! #royalmail ,Customer Service,0
1956,"Whoever said that Autumn is ugly. You have no idea what you're thinking about! 🍁
#autumn #colours #leaves #nature #tree #royalmail #frome #somerset #jesień #frometown #red #naturelover… ",Royal Reply,5
2006,When it comes to high level corruption in this century nothing beats the sell off of #RoyalMail by bent Cameron's regime for £3 billion.,Politics,3
1811,rant about the #RoyalMail sizer they use in a postoffice🙄 prob cm deep if your weeny lil short envelope smaller than smallest envelope is thicker then my mobile phone it then gets changed into big envelope price its outrageous really was fuming as 1.85p turns into almost 5.00☹️ ,Customer Service,0
271,#RoyalMail installing 280 new NI post boxes: ,Customer Service,0
1203,"@RoyalMail why did the post made deliver all my post, but then leave a can’t be delivered card for a parcel when there was a safe place for it to be delivered ? #royalmail #postman #poorjob",Customer Service,0
1156,"extra stickers with my purchase,love it!  #royalmail ",Customer Service,0
1047,Just to double check... I can send a big envelope with a first class stamp before 4pm the latest for it to arrive the next day right? #royalmail #royalmailuk,Customer Service,0
1178,Been a dire service fo years now. Anther example of not moving with the times. #RoyalMail ,Customer Service,0
1922,"@dearaunty the #royalmail 
are taking the ",Customer Service,0
1260,"@HarpyGeneric #RoyalMail have a standard apology notice they send to the (robbed) addressees. I'm in the UK, I  sent my mail from within UK. #RoyalMail sent an apology notice, stating my mail had been sent from abroad! 🙄Maybe thieves have pilfered all their inland notices!! Twossers.",Customer Service,0
1243,@Philatelovely I know #RoyalMail process billions of items but it's not encouraging to philatelists,Customer Service,0
557,Not a Russian bread queue. Just a 20 deep queue fo stamps from privatised #royalmail. ,Customer Service,0
2318,Another Pinpoint Delivery 😴💅🏾 #FedEx #UPS #RoyalMail #DPD #Hermes #Parcelforce #Yodel #HowMayIAssistYou ,Royal Mail Jobs,4
721,#RoyalMail out of touch with ‘modern families’  ,Customer Service,0
264,"Waited alday for a parcel to be redelivered, at 1745 rung it's at the office to pick up dont no why didn't go out today #royalmail hopeless",Customer Service,0
1899,#royalmail so yet another item sent Tracked 24 failed to be delivered per attached. Royal Mail an abject shambles— will NEVER buy anything from anyone who uses this second rate company @RoyalMailHelp ,Customer Service,0
50,#royalmail workers to be hit with big cut to pension schemes,Customer Service,0
1704,"This is weird. A late birthday card from my mum arrived today, mangled in apologetic plastic - a torn @MooseAllain card in a ravaged envelope with an odd precisely sliced tenner. I sent this photo to my mum. Her reply - “There was no money in that envelope when I posted it…” ",Customer Service,0
756,"Why is #royalmail paid its new boss over, 5 million to welcome him? Your fault @vincecable",Customer Service,0
1270,"Some jobs going #RoyalMail
",Customer Service,0
606,@AmazonHelp Parcel arrived late with no help from #amazonuk who cant even print the label with proper address thanks #peacehaven #royalmail #sortingoffice who worked out who it was for,Customer Service,0
210,Must be cold for the postman even the postbox has a hat on. #royalmail#post#dazyid71#rs4… ,Customer Service,0
2135,"Postman/Postwoman with Driving @RoyalMail #Linlithgow
Apply/Info  
#RoyalMail #WestLothianJobs ",Royal Mail Jobs,4
154,My husband Marks works at a sorting office for #RoyalMail,Customer Service,0
338,"#Elvis proving  1950s US postal service better than #RoyalMail of today.

""Bright and early next morning""????

",Customer Service,0
761,I miss the Ophelia postcard I sent from London has not arrived yet #Royalmail,Customer Service,0
836,A new way for me to piss off royal mail. I am ordering my new door with letter close to the floor. Thank you bbc for heads up might get dog as well  #royalmail @RoyalMail ,Customer Service,0
1774,I posted a small letter in a priority postbox last Wednesday morning - franked with a LARGE First Class Stamp. The letter arrived today - after six days #RoyalMail - the letter had an event admission ticket for last Saturday in it. Thanks!,Customer Service,0
1689,@TerryKomatsu A friend sold me tickets to Everton away posted first class 2 weeks ago arrived yesterday! 😂 #royalmail,Customer Service,0
1277,@pete_savin A cynic might say it's probably to nudge you toward #royalmail 's new 70p parcel collection service?!,Customer Service,0
2499,"Second round of Posted Overwintered Nucs 2021, heading all over the UK overnight 🐝. Our local Royal Mail DO is working extra hard to ensure the Bees are well looked after.
-
 #royalmail #beekeepinglife #beefarmer #honey #honeybees #beekeeping #spring #bees #beehive ",Royal Reply,5
2291,"✉ Reply n. 331 👑
Birthday reply from HM The Queen of The Netherlands
----------------------
#royalmail #royalletters #royalreply ",Royal Reply,5
1279,"@Bethmurray98 brilliant. what a surprise for you! 
Good old #royalmail.",Customer Service,0
741,"if you're to send crisp packets back to @walkers_crisps @RoyalMail asks you to put them in an envelope 

&lt; campaign aims to persuade them to adopt more environmentally friendly packaging but as a start we'd love them to get customers to dispose responsibly",Customer Service,0
2293,"✉ Reply n. 332 👑
Birthday reply from HRH The Duke of Edinburgh
----------------------
#royalmail #royalletters #royalreply ",Royal Reply,5
527,Gz to the #royalmail for sending my parcel to the wrong town.,Customer Service,0
1936,"A six rubber band walk yesterday, best for a few weeks #royalmail ",Customer Service,0
1200,Fuming #RoyalMail is utter garbage lost my parcel sent with 1st class and not it just they have not attempted to deliver.,Customer Service,0
2574,2002 Pack 59. 4 Regions #stamp #stamps #philatelists #philately #stampcollector #stampcollection #stampcollecting #postalstamps #royalmail #royalmailstamps #postagestamps #collectingstamps #postage  #postagestamp  #presentation #definitive #definitivestamps ,Philately,2
1364,One time I would have been sympathetic about the #RoyalMail not any more I have just missed a parcel delivery which was supposedly coming tomorrow came today and I have a red card nobody knocked  I was right here no wonder deliveries go to Hermes,Customer Service,0
318,🚓🚒🚓 #royalmail!! Swear they think there part of the emergency services.. vvvrrrrrrmmmm 💨💨💨,Customer Service,0
1066,Disappointed at #royalmail not particularly supporting new startup or small businesses. 1000 parcels per year minimum. #greedy. Post Office staff roll their eyes when they see me coming with 20+ international bound parcels and have to scan each one individually and type in detail,Customer Service,0
2207,Royal Mail share price tumbles as half-year profit undershoots expectations $RMG #RoyalMail ,Financial News,1
1167,I would go an collect the damm delivery myself if I new where the fuck it was 🤷🏽‍♀️ ffs so frustrating #royalmail,Customer Service,0
1502,"I think I will count this as a full flush - postie, post van, post box, post bags and post office. I momentarily stalked him under the high noon sun🌞🌞
#PostVanMonday #PostOffice #royalmail #Cumbria ",Customer Service,0
2118,#RoyalMail Xmas Vacancies still on. Info session at Leith JCP on 26/10 from 10am- 4pm. Ask your Work Coach for more details or just turn up. ,Royal Mail Jobs,4
677,How in 2018 is there still no postal delivery on a Sunday and no letter collection after midday on Saturday??  #Annoying #RoyalMail,Customer Service,0
1249,"i just want to thank my postman for not just his job but for being a real pillar of the community over the years  delivering life saving drugs even if there is a pandemic so from CARTER STREET, HYDE thank you! #royalmail #mypostie #staysafe #covid #stayhome #mail #postie #mailman",Customer Service,0
1265,Hmm ever since #RoyalMail introduced the new parcel collection service our postman seems to have done a vanishing act. His round was usually around 10:00 now it’s nearly 14:00 and he’s not been yet 📭📦😔,Customer Service,0
2055,"@LibDems @vincecable Why should anyone trust you?
Proven liars about Nicola Sturgeon, tuition fees
@LibDems enabled Tory Govt, #Austerity, #DWPcuts, #Trident AND EU Referendum!!!!! You helped pave way for #Brexit - pretty embarrassing!
Sold #RoyalMail cheap
Shame on you #LimpDebs 
#DissolveTheUnion",Politics,3
2596,The posts about Queen Victoria and King Edward VII’s influence on postage stamps are up! #philately #stampcollecting #stampcollectinghobby #stampcollection #gbstamps #gbstampcollecting #stamps #royalmail ,Philately,2
2189,"We are now recruiting for a Mobile Gas Heating #Engineer covering the #Leicester postcode area @RoyalMail 

You will be involved in fault finding, maintenance, repair and installation. Find out more: 

#LeicesterJobs #RoyalMail #LeicestershireJobs ",Royal Mail Jobs,4
1435,"Postmaster DeJoy has obviously been taking a leaf out of UK #RoyalMail/PostOffice book. It's now hard to find a post office or pillarbox.Latest time to post letter where I live is 9am, yes 9AM. At busy #ShephersBushGreen WLondon there's only one box and it's bn bolted since Xmas ",Customer Service,0
1735,DGSP Terry Pullinger lays it on the line ,Customer Service,0
248,Shout out to our local postie Keith who came back to deliver a special delivery after I wasn't in first time #goingtheextramile #royalmail,Customer Service,0
35,@RoyalMail as usual the order placed for delivery bags 10 days ago not yet arrived this is quite standard for #royalmail now adats,Customer Service,0
2473,The privatised Royal Mail is an asset stripper of the public asset we had for a narrow self interest group of shareholders. A greater good destroyed for the enrichment of vultures &amp; it was an essential part of our infrastructure- it’s now worse &amp; more expensive @LBC #RoyalMail,Financial News,1
1742,"Just accept it Patrizia, you ain't never gonna see those 2 parcels.  
They've now stated that both were delivered on the same day to an address they had no access to on that day😂  So someone other than me will be enjoying my art stuff thanks to #RoyalMail  Unimpressed",Customer Service,0
447,Good place to put a parcel when the person is on holiday and the bins get collected!!!! #idiots #royalmail thanks ,Customer Service,0
1626,My post is catching up (fingers crossed) Fridays post came Wednesday this week a two day improvement on last few weeks #Brighton #RoyalMail advise manager working hard to rectify no end date tho,Customer Service,0
75,@MattCaponeEsq the largest postbox in the business! #royalmail,Customer Service,0
1007,"#RoyalMail union appeals #court ruling on postal #strike

",Customer Service,0
974,#RoyalMail workers threaten to ruin Christmas.,Customer Service,0
829,@MarketReachUK well stop putting up the prices so much especially for parcels and more ppl would use #royalmail,Customer Service,0
940,"I hope #rwe and #royalmail work miracles today's me tomorrow, placed my @Razorwireenergy order a day later then realised I might not get it till Tuesday :( :( please @RoyalMail work a miracle. I need my fuel!",Customer Service,0
239,"Someone tell me again how the shit #royalmail can take a parcel, send it and then say there owed postage ! How does that happen ! #useless",Customer Service,0
2389,1993 Pack 28. #stamp #stamps #philatelists #philately #stampcollector #stampcollection #stampcollecting #postalstamps #royalmail #postagestamps #collectingstamps #postage #postagestamps  #postagestamp #presentation #presentationpacks  #definitivestamps ,Philately,2
2088,@RoyalMail must be fucking retarded as I live in London and they delivered my package to Aberdeen. Dumb fucks now owe me compensation #royalmail @RoyalMailHelp @RMGroup2 @RoyalMail @RoyalMail @RoyalMail,Politics,3
1414,Not many of these about. #RoyalMail ,Customer Service,0
675,"It appears @RoyalMail that your Romsey delivery office has unilaterally suspended the universal agreement. One delivery this week. People off sick &amp; holidays I’m told. How do those sending letters to me, first class, get their money back? #royalmail #poor service",Customer Service,0
2228,#RoyalMail | Falls below 2013 IPO prices of 330p,Financial News,1
735,"@PostOffice only 3 members of staff working the windows, and none of self-service machines working in Old Street branch on a Saturday morning. Think I might use another service to post my parcel... #royalmail #queue #poorservice ",Customer Service,0
2276,"Royal Mail shares fell after Barclays cut is price target on the stock from 640p to 400p, saying that 2023 is likely to be a “challenging transition year” for the postal group. $RMG.L #RMG #royalmail
More on News :  ",Financial News,1
2496,"Last yard of Overwintered Nucs transferred into Correx transport boxes ready to go in the post next week. We will be in touch with our posted OW Nuc customers this weekend to book your delivery in. 🐝
-
 #royalmail #beekeepinglife #beefarmer #honeybees #beekeeping #spring #bees ",Royal Reply,5
2376,"Mail Sorters Wanted for #RoyalMail #Atherstone. Immediate starts. Fantastic rates: 
(Mon-Fri)
- 06.00 – 14.00 - £9.63 p/h
- 14.00 – 22.00 - £9.63 p/h
- 22.00 – 0.600 - £10.63 p/h
(Sat &amp; Sun)
- 22.00 – 0.600 - £11.13 p/h
Email us for more info: Emilia.Wasylenko@gigroup.com ",Royal Mail Jobs,4
1093,#Royalmail is the post office exercising an essential post only including parcels?,Customer Service,0
832,@JimMFelton And in keepers will stop changing the Horses on #RoyalMail Coaches,Customer Service,0
1674,"#royalmail are in the process of changing stamps to those only with a barcode for non and I stress only non pictorial stamps 
you can send any non barcode or pictorial stamps to them to swop on this form  swop scheme runs until 31st January 2023",Customer Service,0
2400,1980 British Conductors Pack #stamp #stamps #philatelists #philately #stampcollector #stampcollection #stampcollecting #postalstamps #royalmail #postagestamps #collectingstamps #postage #postagestamps #presentation #presentationpacks #music #conductors ,Philately,2
2378,"RT GenDHQ: Royal Mail Group - Welcome to Workplace by Facebook! 

Delighted to work with the RoyalMail team on their WorkplacebyFB launch

#workplacebyfacebook #employeeengagement #internalcommunications #workplacebyfb #royalmail ",Royal Mail Jobs,4
1707,@RoyalMailHelp Dvla sent my new addressed licence  a month and now sending again .. also tfl sent licence. #royalmail #useless,Customer Service,0
171,#travel to #london and see a #royalmail box ,Customer Service,0
1624,#CharlieWatts on the #RoyalMail postage stamp. ,Customer Service,0
1298,"#RoyalMail posts operating loss but pins hopes on a rise in parcel deliveries during #COVID19 pandemic

",Customer Service,0
2515,A lack of colour #letterbox #postbox #black #onthewall @LumixUK #lumix #lumixgx9 #gx9 #dgleica #leicadg #leicadgsummilux15mm #royalmail ,Philately,2
2362, Check out a Royal Mail Apprenticeship and start a new career now! #apprenticeships #RoyalMail,Royal Mail Jobs,4
179,Yet another greetings card mysteriously opened before coming through letterbox. I wonder how that happens? #royalmail #postman,Customer Service,0
722,Post Office: My Letters going to all and sundry! UKVlog #royalmail ,Customer Service,0
1262,Remember when the postman came at reasonable time 🤔 #royalmail #Pigeonpost,Customer Service,0
375,Well done postie!!! #royalmail #postman ,Customer Service,0
1987,New royal letter from Luxembourg 🇱🇺 #Royal #royalmail #royalletter #royalreply #Christmas #Luxembourg ,Royal Reply,5
611,"I have had 3 birthday cards through the post, 2 of which were completely open. Poor hit rate @RoyalMail. I guess someone in your sorting office is having MY happy birthday. #royalmail #pleasedontopenmycarda #bettersecuritymesauresneeded #tamperedwith",Customer Service,0
118,Postman! At this time of day????  #royalmail #nightshift,Customer Service,0
2116,"Work with #RoyalMail this #Christmas – Ask your JCP #Workcoach about a guaranteed invite to an interview, #Jobs. ",Royal Mail Jobs,4
2512,Royal letter arrived from Spain 🇪🇸 #Royal #royalletter #royalmail #royalreply #Christmas #spain ,Royal Reply,5
1420,#royalmail is this text from you guys or a scam? ,Customer Service,0
491,@kiran205 Thank you! #royalmail,Customer Service,0
1198,Do people really still use snail mail? #royalmail,Customer Service,0
2261,"What #stocks are in focus today? 

📦Can #RoyalMail keep up the momentum?

🍹Can #Nichols recover now lockdown has eased?

⛏️Will Covid disrupt #Antofagasta's production? 

Find out more below 👇#stockstowatch 

",Financial News,1
1560,#Royalmail in Chelmsford is a joke!!!!  2 wks no letters!!! Waiting for tickets for travel n event to turn up! Ring up no help at all go to sorting office they won't look!!!! Joke!!,Customer Service,0
1888,"Ongoing #dpduk saga. My advice #royalmail - your staff is the most valuable asset you have, so pay them properly. 

Always a worry when I see a parcel is coming on #dpd or #Evri   

1) didn’t get the initial email until late 22/12
2) waited on 23/4 - no show
1/2",Customer Service,0
388,Epic fail with #royalmail today. Redelivery not arrived cos automated tel serv logged name spelt wit C instead of K. Idiot looking for..,Customer Service,0
1456,"Just had another #scamtext, supposedly from #royalmail watch out people and never click on a link.....",Customer Service,0
905,"Just lame excuses and blaming others.... The responsibility for your actions and just get my property to me ASAP, you got 48h! #royalmail #theft #postnord not the first time royal mail stolen parcels from me",Customer Service,0
2237,"TOP TIPSTER TIP TODAY: HOLD #RoyalMail #RMG by Richard Evans @richardevans10 for The Telegraph, Questor @DTquestor. Share price +6.42% since placed #investing  #StockMarket",Financial News,1
62,Nice way for one of #RoyalMail's finest to deliver my post!!! ,Customer Service,0
1436,Seeing #royalmailscam trending &amp; remembering I got a barrage of emails asking for additional payment.  It was very convincing but I decided the person sending it would have to deal with it being sent back to them!  Also - being at home 24/7 means no parcels get missed! #royalmail,Customer Service,0
684,You put on the door no junk mail so people won’t shove it in your door but then the dam @RoyalMail delivers the stupid junk mail instead 😡 they should stick to letters not shoving crap in our doors #royalmail #junkmail #justsayin ,Customer Service,0
17,@BBCNews look: the Queen gets an afternoon delivery from the #royalmail ! Just because her head's on the stamp... #buckinghampalace,Customer Service,0
1053,"No wonder my #Amazonprime returns take so log when I'm forced to use #HERMESDELIVERY  😡😡
#ROYALMAIL I get a notification after about an hour to say they have my return 😃
Hermes whistleblowers expose snaps of chaotic warehouse and vans  via @MailOnline",Customer Service,0
1879,The unions have killed off #royalmail,Customer Service,0
661,The tenacious Canadian who reshaped #RoyalMail ,Customer Service,0
2323,#Postman / #Postwoman with #Driving  30 hrs p.w - #NewMalden Delivery Office  #Jobs #RoyalMail #CustomerService #SM1Jobs #SuttonJobs,Royal Mail Jobs,4
220,Why does this only ever happen to our post in London #ratherodd #royalmail  ,Customer Service,0
234,"""Take-back Tuesday"" well i am still waiting for parcels sent before Christmas  sent by #royalmail #Lost",Customer Service,0
28,These cards are the bane of my life #royalmail #painintheass @ Lerwick ,Customer Service,0
1753,They should b dam well satisfied they have a job totally pathetic #royalmail,Customer Service,0
2106,"@CWUnews Can you tell me if Dave Ward @DaveWardGS is still getting paid while the CWU members are on strike? If so why? What do the striking workers think about him getting paid while your on strike?
#RoyalMail #CWU #Strike #labour",Politics,3
